"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bid  Close  Date Time","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status Comments"
"National Fisheries Authority (NFA)","NPC2025-21","08/08/2025","Pora Kewa","Phase No.2 of the Karavia Jetty and Onshore Facilities in Karavia, Gazelle District, East New Britain Province","National Fisheries Authority","16th October ,2025","-","-","-","-","-","-","Bidding period closed 16/10/2025.Tender advertised on 19/08/2025.Awaiting TFEC.TFEC completed on 16th/01/2026"
"National Fisheries Authority (NFA)","NPC2025-22","08/08/2025","Pora Kewa","Construction of the NFA Office Complex in Voco Point, Lae, Morobe Province. (Re-Tender of NPC2024-04).","National Fisheries Authority","16th October,2025","-","-","-","-","-","-","Bidding period closed on 16/10/2025. Tender advertised 19/08/2025.Awaiting TFEC.TFEC completed on 16th/01/2026"
"Southern Highlands Provincial Government","NPC2025-23","12/08/2025","Veari Hitolo","Design, Financing & Construction of Commerical and Business Center,Mendi,Southern Highlands Province","GoPNG","-","-","-","-","-","-","-","Tender Number issued 12/08/2025"
"Southern Highlands Provincial Government ","NPC2025-43","5/12/2025","Veari Hitolo","Re-Tendering for the design documentation and construction of the Banking Facility and Business Center at Walume ,Imbongu District in Southern Highlands Province ","Southern Highlands Provincial Government (GoPNG) ","23rd December ,2025","-","-","-","-","-","-","Preparing tender opening minutes to agencies & draft letters to appoint TFEC Nominees. Bidding period closed 20/01/2026. Tender advertised 10th December 2025 "
"Goroka District Development Authority  ","NPC2025-44","10/12/2025","Agarobe Agaru","Construction of Goroka District Administration Building in Goroka District, Eastern Highlands Province.  ","Own Source (Bank Account)","23rd December ,2025","cert.no: 2558112111","-","-","-","-","-","Drafting TFEC Nominees letters to be sent to agencies. Tender opening minute drafted. Bidding period closed 6th January 2026. "
"Port Moresby General Hospital","NPC2025-10","24/06/2025","Macnamara Hitolo","Single Source Procurement Method for the Demolition,Mobilizationand Earthworks for the Comprehensive Cancer Center at Port Moresby General Hospital.","GoPNG","-","APC Number 14/2025","-","-","NPC Board Meeting-No 04 of 2025 held on 11 June 2025.","Minpac Construction Limited","K4,781,923.15","Contract Executed"
"Port Moresby General Hospital","NPC2025-11","24/06/2025","Macnamara Hitolo","Single Source Procurement Method for the L-3 Roof Structural/Apron Walls for the New Cancer Center at Port Moresby General Hospital.","GoPNG","NA","-","NA","-","NPC B/Meeting No.04 of 2025, held on 11 June 2025.","Minpac Contraction Limited","K1,520,130.35","Contract Executed"
"Port Moresby General Hospital","NPC2025-12","24/06/2025","Macnamana Hitolo","Single Source Procurement Method for the Procurement of Siemens Somatom Pro CT Simulator for the New Cancer Center at Port Moresby General Hospital","GoPNG","NA","-","NA","-","NPC Board Meeting No.04 of 2025, held on 11th June 2025.","Flowtint Pty Limited","K3,173,517.39","Contract Executed"
"Port Moresby General Hospital (POMGEN)","NPC2025-13","24/06/2025","Macnamana Hitolo","Single Source Procurement Method for the Procurement Method for Brachytherapy Suite Facility and Ground Floor Service Upgrade for Cancer Center at Port Moresby General Hospital.","GoPNG","NA","-","NA","NA","NEC Decision No:24/2025, Special M-No:14/2025, Decision No:247/2025. NPC Board Meeting No.04 of 2025, held on 11th June 2025.","Cemix & Construction Limited","K13,429,244.86","Approved to award contract to Cemix & Contraction Limited, upon receipt of Legal Clearance from OSS.  "
"University Of Goroka","NPC2025-14","25/06/2025","Macnamana Hitolo","Single Source Procurement Method for the Procurement Method of the Construction of Two (2) New University of Goroka (UOG) Student Dormitories.","GoPNG","NA","APC Certification No.2551304201 dated 14th April 2025.","NA","-","NPC Board Meeting No.04 of 2025, held on 11th June 2025.","China Railway Construction and Engineering Group Company Limited (CREG)","K16,380,130.69","NPC Board approved the single Source procurement and endorsed it to NEC to award. Awaiting approval and execution. "
"National Fisheries Authority (NFA)","NPC2025-20","08/08/2025","Pora Kewa","Demolition, Earthworks and Construction of the new Madang Provincial Fisheries Office in Binen Point, Madang Town, Madang Province.","National Fisheries Authority (NFA)","16th October ,2025","-","-","-","-","-","-","Bidding period closed 16/10/2025.Tender advertised on 19/08/2025.Awaitng TFEC.TFEC completed on 16/01/2026"
"National Energy Authority (NEA) ","NPC2025-30","05/09/2025","VEARI HITOLO","Engineering Procurement and Construction (EPC) of Hawa 1MW BESS Solor System in Tari Hela Province","Go-PNG","-","-","-","-","-","-","-","Waiting for Tender Advertisement"
"Finschhafen District Authority (FDDA)","NPC2025-31","08/09/2025","Veari Hitolo","Single Source Procurement for Consultancy Services for Finschhafen Integrated Special Economic Zone (FISEZ) licensing Project.  ","GO-PNG","SIGLE SOURCE PROCUREMENT","K5,000,000.00","completed","COMPLETED","RESOLUTION NO. 01 OF 2025 CIRCULATED ON 27TH AUGUST 2025","ERNEST & YOUNG OF 8 EXHIBITION STREET, MELBOURNE, VICTORIA 3000 AUSTRAKIA (EY)","K9,800,000.00 GST INCLUVE","CONTRACT EXECUTED ON 10th September 2025"
"Southern Highlands Provincial Government (SHPG)","NPC2025-39","17/11/2025","Agaru Agarobe","Design & Construction of Two Storey Commercial and Business Centre, Mendi, Southern Highlands Province.","Own Source (LNG Levy) GoPNG","-","Cert No: 2557710813 cert Date: 27/10/2025","-","-","-","-","-","RFT and Certificate to Commence Procurement have been submitted; however, the implementing Agency has not yet provided the BOQ & Drawings."
"Department of Provincial & Local Level Government Affairs (DPLLGA) ","NPC2025-36","25/09/2025","Elton Eka","Development of Phase No.2, The National Ward Record System (NWRS) for Department of Provincial & Local Level Government Affairs (DPLLGA)","GoPNG","24/10/2025","APC Certification No:2523206401 dated 18th June 2025 K3,000,000.00","-","-","-","-","-","Bidding period closed on 24/10/2025. Tender number issued, waiting for the legal vetting of RFT before publishing for the advertisement. "
