"Agency","Tender No","Action Officer","Project Description","Funding","Closing Date Time","APC Value","TFEC Status","Schedule TFEC Date","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"Department of Education (DoE)","NPC2020-39","Wanom Nothsman","Purchase of Library for the National Library and Archives","GoPNG","10th November 2020 @10:00am","K 5.0 Million","WITHDRAWN","-","-","-","-","Project withdrawn"
"Department of Higher Education Research Science & Technology (DHERST)","NPC2020-40","Geoffrey Kinibo","National Higher Technical Education Management Information System","GoPNG","-","-","-","-","-","-","-","Project withdrawn"
"Department of Higher Education Research Science & Technology (DHERST)","NPC2020-41","Geoffrey Kinibo","Higher Education Loan Program (HELP)","GoPNG","-","-","-","-","-","-","-","Project withdrawn"
"Department of Higher Education Research Science & Technology (DHERST)","NPC2020-42","Geoffrey Kinibo","Higher Education E-Library","GoPNG","-","-","-","-","-","-","-","Project withdrawn"
"Department of Prime Minister & NEC (PMNEC)","NPC2020-43","Agaru Agarobe","Design and Construction of New Perimeter Fencing and Staff Residence for Mirigini","GoPNG","Retender 23/2/23 @ 10:00am","K17,000,000.00","-","-","-","-","-","Pending"
"Department of Works & Highways (DoWH)","NPC2020-44","Guria Verave","Design and Construction of 96km Road from Maria to Pori to Kopiago in Hela Province","GoPNG","-","-","-","-","-","-","-","Cancelled"
"PNG Correctional Service","NPC2020-45","Frank Hare","Construction of a 100 Men Dormitory at Buimo Correctional Institution in Lae","GoPNG","13th January 2021 @10:00am","-","Completed","-","-","Tamake Engineering & Construction Limited","K3,105,528.26","Contract Executed"
"Department of Transport (DoT)","NPC2020-46","Angeline Oki","Construction of the PNG Maritime College Simulator Building and 2x Staff Houses","GoPNG","24/11/20 @ 10:00am","K3,600,000.00","Completed","03/02/2021","M-02/22 dated 10/02/22","Zenith Limited","K8,434,038.50","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-47","Guria Verave","Consultancy Services for Development of Bridge Asset Management Systems","Asian Development Bank (ADB)","3rd of December 2021 @10:00AM","-","Completed","22/02/2021","M-09/22 on 19/05/22","Joint Venture - Finnish Overseas Consultants & Sirway Limited","K9,648,370.50","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-48","Guria Verave","Consultancy Services for Construction Supervision of Bridges under BCW1","Asian Development Bank (ADB)","3rd December 2021 @10:00AM","-","Completed","22/02/2021","M-09/22 on 19/05/22","Korea Consultants International co Ltd","K13,509,420.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-49","Guria Verave","Consultancy Services for Construction Supervision of Bridges under BCW2 and BCW3","Asian Development Bank (ADB)","3rd December 2021 @10:00AM","-","Completed","22/02/2021","M-09/22 on 19/05/22","Joint Venture - Bonifica SPA AND Renardt S.A","K19,360,000.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-50","Guria Verave","Detailed Design Construction and Rehabilitation of Bridges between Lae Nadzab and Henganofi","Asian Development Bank (ADB)","15th January 2021 @ 10:00am","-","Completed","09/02/21","M-09/22 on 19/05/22","Metallurgical Corp of China","K315,395,676.88","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-51","Guria Verave","Detailed Design Construction and Rehabilitation of Bridges between Henganofi and Mangiro","Asian Development Bank (ADB)","15th January 2021 @ 10:00am","-","Completed","14/02/2022","M-09/22 on 19/05/22","China Wu Yi Co Limited","K243,358,407.03","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-52","Guria Verave","Detailed Design Construction and Rehabilitation of Bridges between Mangiro and Kagamuga","Asian Development Bank (ADB)","15th January 2021 @ 10:00am","-","-","-","-","China Civil Engineering Construction Corporation","K357,707,899.04","Pending"
"National Fisheries Authority (NFA)","NPC2020-53","Hane Hekwa","Consultancy Service for Feasibility Study for Wagang Fishing Port Project in Lae","GoPNG","18th December 2020 @10:00am","K20,000,000.00","-","-","Withdrawn","-","-","Withdrawn"
"Department of Works & Highways (DoWH)","NPC2020-54","Guria Verave","Upgrading and Rehabilitation of Mt Hagen City Roads in Western Highlands Province","GoPNG","07th September 2020 @ 10:00am","-","Pending","-","-","-","-","Pending"
"Public Service Commission (PSC)","NPC2020-55","Agaru Agarobe","Construction of new residential building at Kagamuga Mt Hagen WHP","GoPNG","12th November 2020 @10:00am","K2,500,000.00","Completed","10/12/2020","M-14/20 dated 15/12/20","Atika Investment Limited","K2,625,850.00","Contract Executed"
"National Statistical Office (NSO)","NPC2020-56","Frank Hare","Printing of Manuals Booklets and Forms for 2021 Census Enumeration","GoPNG","27th November 2020 @10:00am","-","Completed","-","M-14/20 dated 15/12/20","MH Supplies","K4,941,978.34","Contract Executed"
"National Statistical Office (NSO)","NPC2020-57","Frank Hare","Procurement of 2021 Census Field Supplies and Stationaries for Enumeration","GoPNG","27th November 2020 @10:00am","K4,680,000.00","Completed","04/12/2020","M-14/20 dated 15/12/20","Wakale Stationeries","K4,139,465.00","Contract Executed"
"National Statistical Office (NSO)","NPC2020-58","Frank Hare","Procurement of 2021 Census Field Gears for Listing and Enumeration","GoPNG","27th November 2020 @10:00am","K4,139,495.00","Completed","-","M-14/20 dated 15/12/20","Printsol Limited","K3,546,626.00","Contract Executed"
"National Statistical Office (NSO)","NPC2020-59","Frank Hare","Procurement of 2021 Census ICT Equipment","GoPNG","27th November 2020 @10:00am","K935,800.00","Completed","05/12/2020 to 06/12/2020","M-14/20 dated 15/12/20","Digitech ICT Limited","K970,860.00","Contract Executed"
"Telefomin District Development Authority (TDDA)","NPC2020-60","Frank Hare","Construction of the New Telefomin DDA Office Complex in Telefomin","GoPNG","17th December 2020 @10:00am","-","Completed","25/02/2021","M-02/21 dated 15/03/21","Tumla Investment Limited","K9,668,664.52","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-61","Guria Verave","Design and Construction of New Ireland Provincial Administration HQ Building","GoPNG","30th October 2020 @10:00am","-","Completed","11/02/2021","-","-","-","Pending"
"National Judicial and Supreme Services Secretariat (NJSS)","NPC2020-62","Frank Hare","Construction of Finschhafen District Court Sub Registry in Morobe Province","GoPNG","26th January 2021 @10:00am","K3,000,000.00","Completed","07/04/21 to 23/04/22","M-06/2021 dated 16/07/21","NBC Limited","K3,192,504.26","Contract Executed"
"Department of Education (DoE)","NPC2020-63","Geoffrey Kinibo","Purchase and Supply of Mathematics and Science Kits - Southern Region","GoPNG","Thursday 26th November 2020 @ 10:00am","K4,306,919.37","Completed","-","M-13/20 dated 02/12/20","MH Supplies Ltd","K5,371,819.79","Contract Executed"
"National Fisheries Authority (NFA)","NPC2020-64","Wanom Nothsman","Construction of Esaala Fisheries Jetty Project","GoPNG","Tuesday 8th December 2020 @ 10:00am","K5,800,000.00","Completed","Completed","25/08/21 @M-08/21","Caveman Construction Ltd","K5,715,238.00","Contract Executed"
"PNG Correctional Service","NPC2020-65","Frank Hare","Construction of a New Female Facility at Boram Correctional Institution in Wewak","GoPNG","13th January 2021 @10:00am","-","Completed","11/05/2021","Meeting No.10/2021","Arepesh Construction Limited","K2,541,322.21","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-66","Guria Verave","Long Term Performance Based Road Restoration on Elimbari Ring Road in Simbu Province","GoPNG","-","-","-","-","-","-","-","Cancelled"
"Department of Works & Highways (DoWH)","NPC2020-01","Guria Verave","Consultancy Services for Kokopo Town Roads Design in ENB Province","Indian Exim Bank","21st August 2020 @ 10:30am","-","Completed","21/09/2020","M-03/21 dated 01/04/21","Aarvee Associated Architects Engineers & Consultants Pvt Ltd","K4,397,678.60","Contract Executed"
"Coffee Industry Corporation (CIC)","NPC2020-02","Veari Hitolo","Rehabilitation of Tokena to Parera Feeders Rd in Obura Wanenara Rd in EHP","GoPNG","25th June 2020 @10:00am","K2,700,000.00","Done","07/10/2020","02/12/2020 MoM 13/20","Diwanie Plant Hire Limited","K2,812,915.20","Contract Executed"
"Department of Education (DoE)","NPC2020-06","Geoffrey Kinibo","Construction of a Science Laboratory Wantoat High School Morobe Province","GoPNG","9th July at 10:30am","K800,000.00","Evaluated","03/11/2020","M-14/20 dated 15/12/2020","Heduru Contractors Limited","K879,984.60","Contract Executed"
"Department of Education (DoE)","NPC2020-07","Geoffrey Kinibo","Construction of a Science Laboratory Kami High School Jiwaka Province","GoPNG","9th July at 10:30am","K800,000.00","Evaluated","03/11/2020","M-14/20 dated 15/12/2020","Hymergent Limited","K789,575.44","Contract Executed"
"Department of Education (DoE)","NPC2020-08","Geoffrey Kinibo","Construction of a Science Laboratory Neregaima High School Simbu Province","GoPNG","9th July at 10:30am","K800,000.00","Completed","17/11/2020 - 19/11/2020","M-14/20 dated 15/12/2020","MK Civil Works","K798,984.60","Pending"
"Department of Education (DoE)","NPC2020-10","Geoffrey Kinibo","Construction of a Science Laboratory Kwikila High School Central Province","GoPNG","9th July at 10:30am","K800,000.00","Evaluated","20/11/2020","M-14/20 dated 15/12/2020","Hymergent Limited","K789,575.44","Contract Executed"
"Department of Education (DoE)","NPC2020-11","Geoffrey Kinibo","Construction of a Science Laboratory St Marcellin High School East Sepik Province","GoPNG","9th July at 10:30am","K800,000.00","Evaluated & completed","27/11/2020","M-14/20 dated 15/12/2020","Akitou Limited","K797,500.00","Contract Executed"
"Department of Education (DoE)","NPC2020-12","Geoffrey Kinibo","Construction of a Science Laboratory Daru Secondary School Western Province","GoPNG","9th July at 10:30am","K800,000.00","Completed","27/11/2020","M-14/20 dated 15/12/2020","Souths Contractor Limited","K799,965.53","Pending"
"PNG Institute of Medical Research (PNGIMR)","NPC2020-15","Frank Hare","Construction of Madang Laboratory Building","GoPNG","3rd August 2020 @10:00am","K24,623,500.00","Completed","19/05/2022","M-14/20 dated 15/12/2020","Associated Builders Limited","K24,365,874.95","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-16","Guria Verave","Engineering Procurement Construction of Nipa Secondary School to Ambu Top","GoPNG","15th May 2020@10:00am","K244,386,069.35","Completed","12/08/2020","NEC M/No.2/21 on 03/2/21","Ipwenz Construction","K224,386,069.35","Contract Executed"
"National Capital District Commission (NCDC)","NPC2020-21","Frank Hare","Design and Construction of Road from 9 Mile Roundabout to Pacific Adventist University","GoPNG","30th June 2020 @10:00am","K240,000,000.00","Completed","12/08/2020","M-12/20 dated 27/10/20","Mobile Works Limited","K117,726,748.90","Contract Executed"
"National Capital District Commission (NCDC)","NPC2020-22","Frank Hare","Construction of Gerehu Drive from Modiki Drive to Nigibata Road","GoPNG","30th June 2020 @10:00am","K240,000,000.00","Completed","12/08/2020","M-12/20 dated 27/10/20","Phoenix Builders","K39,489,612.57","Contract Executed"
"East Sepik Provincial Government (ESPG)","NPC2020-24","Veari Hitolo","Civil Works Road Maintenance Project for Brandi to Suanum in Wewak District","GoPNG","06/12/19 @10:00am","K5,000,000.00","Completed","08/04/2020","09/07/20 BM No. 07/2020","Andro Holdings Limited","K5,000,000.00","Contract Executed"
"Internal Revenue Commission (IRC)","NPC2020-27","Agaru Agarobe","New Integrated Tax Administration System (ITAS)","GoPNG","28/07/2023 @10am","K82,000,000.00","Completed","-","-","Clade PNG Limited","K79,500,000.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-28","Guria Verave","Preparation of Feasibility Study for Northern Region Corridor","Asian Development Bank (ADB)","7th February 2022 @ 10:00am","-","Completed","-","MoM No. 12/22 dated 09/09/22","Finnish Overseas Consultants Ltd","USD 11,552,800.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-134","Guria Verave","Detailed Design and Construction of 40km Ramu Highway Section","GoPNG","25/01/2020 @ 10:00am","-","Completed","14/04/21","M-09/21 dated 05/09/21","JV PNG Investment Limited","K139,850,695.81","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-135","Guria Verave","Detailed Design and Construction of 40km Coastal Highway Section in Sandaun Province","GoPNG","22/12/2020 @ 10:00am","-","Completed","14/04/2021","M-09/21 dated 05/09/21","Green Hill Construction Limited","K145,243,352.39","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-136","Guria Verave","Long Term Performance Based Maintenance of 148.2km Magi Highway Section","GoPNG","22/12/2020 @ 10:00am","-","Completed","14/04/2021","M-09/21 dated 05/09/21","Kana Construction Limited","K73,595,391.10","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-137","Guria Verave","Detailed Design and Construction of 52.0km Magi Highway Section","GoPNG","22/12/2020 @ 10:00am","-","Completed","14/04/2021","M-09/21 dated 05/09/21","Global Construction Limited","K164,428,602.45","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-138","Guria Verave","Detailed Design and Construction of 40.0km New Britain Highway Section","GoPNG","08/12/2020 @ 10:00am","-","Completed","14/04/2021","M-09/21 dated 05/09/21","CRCE Group Limited","K138,495,587.45","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-140","Guria Verave","Detailed Design and Construction of 30.0km East West Highway section in Manus Province","GoPNG","08/12/2020 @ 10:00am","-","Completed","14/04/2021","M-04/21 dated 13/09/21","Covec (PNG) Limited","K115,988,738.53","Contract Executed"
"Department of Health (DoH)","NPC2020-142","Wanom Nothsman","Provision of Routine Logistics and Distribution of Medical Supplies - Momase Region","GoPNG","10th August 2021 @10:00am","K9,881,073.00","Completed","-","26/04/2022 M-04/22","LD Logistic Limited","K9,881,073.00","Contract Executed"
"Department of Health (DoH)","NPC2020-143","Wanom Nothsman","Provision of Routine Logistics and Distribution of Medical Supplies - Highlands Region","GoPNG","10th August 2021 @10:00am","K9,801,173.50","Completed","-","26/04/2022 M-04/22","Protocol Investment Limited","K9,801,173.50","Contract Executed"
"Department of Health (DoH)","NPC2020-144","Wanom Nothsman","Provision of Routine Logistics and Distribution of Medical Supplies - Southern Region","GoPNG","10th August 2021 @10:00am","K8,391,673.41","Completed","-","26/04/2022 M-04/22","Express Customs Limited","K8,391,673.41","Contract Executed"
"Department of Health (DoH)","NPC2020-145","Wanom Nothsman","Provision of Routine Logistics and Distribution of Medical Supplies - NGI Region","GoPNG","10th August 2021 @10:00am","K7,014,559.00","Completed","-","26/04/2022 M-04/22","Post PNG Limited","K7,014,559.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-149","Guria Verave","Long Term Maintenance Contract on the Enga Highway from Lai Bridge to Wabag town","GoPNG","15th July 2021 @10:00am","K9,998,952.48","Completed","25/08/2021","M-10/2021 dated 30/09/21","Kaystar Construction Limited","K9,841,227.00","Contract Executed"
"Department of Education (DoE)","NPC2020-130","Geoffrey Kinibo","Purchase and Supply of Mathematics and Science Kits - Highlands Region","GoPNG","Thursday 26/11/20 @ 10:00am","K5,447,391.68","Completed","28/11/2020","M-13/20 dated 02/12/20","MH Supplies Ltd","K5,447,391.68","Contract Executed"
"Department of Education (DoE)","NPC2020-131","Geoffrey Kinibo","Purchase and Supply of Mathematics and Science Kits - Momase Region","GoPNG","Thursday 26/11/20 @ 10:00am","K4,402,240.61","Completed","28/11/2020","M-13/20 dated 02/12/20","MH Supplies Ltd","K4,402,240.00","Contract Executed"
"Department of Education (DoE)","NPC2020-132","Geoffrey Kinibo","Purchase and Supply of Mathematics and Science Kits - New Guinea Islands Region","GoPNG","Thursday 26/11/20 @ 10:00am","K5,371,819.79","Completed","28/11/2020","M-13/20 dated 02/12/20","MH Supplies Limited","K4,306,919.37","Contract Executed"
"Department of Transport (DoT)","NPC2020-133","Wanom Nothsman","Construction of Tidegu Jetty Finschhafen District Morobe Province","GoPNG","20/12/20 @ 2:00pm","K3,000,000.00","Completed","13/01/2021","M-02/21 dated 15/03/21","Pioneer Construction Engineering Limited","K1,998,595.50","Contract Executed"
