"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bidding Closing Date Ti","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status Comment"
"Department of Works & Highways (DoWH)","NPC2024-11","15/04/2024","Guria Verave","Design and Construction of Sepik Highway from Warasikau Bridge (CH166+610KM) TO Karaitem CH253+279KM) -86.669km Road under Connect PNG in West Sepik Province.","GoPNG-Program Connect PNG","31/07/2024","-","-","-","-","-","-","Request for legal correctness with State Solictor.TFEC in progress. Bidding period extended to 31/07/24."
"Department of Transport (DoT)","NPC2024-12","23/04/2024","Veari Hitolo","Single Source Procurement for three(3) ferries under the National Shipping Services Program (NSSP) Program of the National Government for Maritime District of East New Britain Province.","GoPNG","-","APC Value: K6,800,000, Cert No: 48/2024,                   Cert Date: 28/05/2024","-","-","-","Cat-One Pty Limited","K6,800,000.00","Contract executed"
"Kokonas Indastri Koporesen (KIK)","NPC2024-39","18/10/2024","Angeline Oki","Refurbishment for the integrated Coconut Downstream Processing Building, Steward Research Station, Murnas, Madang Province.","GoPNG","11/12/2024","K4,811,248.64","19/12/2024","Completed","Meeting No.02 OF 2024 Held on 19/03/2025","MACOVS Limited","K4,956,352.31","Contract executed on 14th May 2025. "
"Department of Works & Highways (DoWH)","NPC2024-40","31/10/2024","Geoffrey Kinibo","(Contract No.37-CPNG-COI-US-LSKJ-11/24)                                              Upgrade to seal Ialibu loop road from Lipenomu junction CH0+00 to Kaka junction CH16+500 in Imbonggu district, SHP.","GoPNG                     (Dev Connect PNG)","-","APC value: K52,052,353.90, Cert No: 24264101800           Cert date: 21/10/24. APC type: Multi-year Budget Vote: 264     ","-","-","-","-","-","Advertisement Notice Cancelled."
"Department of Works & Highways (DoWH)","NPC2024-41","18/11/2024","Guria Verave","Individual Consultation Contract - Torben Mikkelsen - Output and Performance Based Contracts Specilialist","World Bank","18/11/24","World Bank Letter of No Objection dated 02/11/24","-","Complete","NPC Board Decision letter dated 03/09/24, Meeting No.10 of 30/10/24","Sangarapillai Suntharesan","USD$435,430 (PGK1,672,051.2)","Contract signed on 10th December 2024."
"Department of Works & Highways (DoWH)","NPC2024-42","18/11/2024","Guria Verave","Individual Consultation Contract - Torben Mikkelsen - Output and Performance Based Contracts Specilialist","World Bank","18/11/24","World Bank Letter of No Objection dated 02/11/24","-","Complete","NPC Board Decision letter dated 03/09/24, Meeting No.10 of 30/10/24","Torben Mikkelsen","USD$515,727.60 (PGK1,980,393.984)","Contract Executed on 16th January 2025."
"Department of Transport (DoT)","NPC2024-13","23/04/2024","Veari Hitolo","Single Source Procurement for three (3) ferries under the National Shipping Services Program (NSSP) Program of the National Government for Maritime District of Morobe Province.","GoPNG","12/02/2025","APC Value: K6,750,000 Cert No: 47/2024 Cert Date: 28/05/2024","-","Completed","completed","Cat One Pty Limited","K6,750,000.00","Contract awarded"
"Department of Transport (DoT)","NPC2024-14","23/04/2024","Veari Hitolo","Single Source Procurement for three (3) ferries under the National Shipping Services Program (NSSP) Program of the National Government for Maritime District of Milne Bay Province.","GoPNG","-","APC Value: K6,625,000 Cert No: 46/2024 Cert Date: 28/05/2024","-","Completed","-","Cat-One Pty Limited","K6,625,000.00","Contract awarded"
"National Statistical Office (NSO)","NPC2024-15","01/05/2024","Veari Hitolo","Single Source Procurement of 22,000 Android Tablets and Accessories for the 2024 National Population Census.","GoPNG","-","APC: K17,241,400 Cert No: 41/2024 Cert Date: 28/05/2024","-","Completed","NEC Decision No.61/2024","Max Enterprise Limited","K17,241,400.00","Contract executed on 11th June 2024"
"National Statistical Office (NSO)","NPC2024-16","01/05/2024","Veari Hitolo","Single Source Procurement for Access Point Name (APN) for the 2024 National Population Census.","GoPNG","-","APC Value: K5,371,300 Cert No: 42/2024 Cert Date: 28/05/2024","-","Completed","NEC Decision No.61/2024","Digicel (PNG) Limited","K5,371,300.00","Contract awarded"
"National Statistical Office (NSO)","NPC2024-17","01/05/2024","Veari Hitolo","Single Source Procurement for Stationery Supplies for the 2024 National Population Census.","GoPNG","-","APC: K3,573,520.17 Cert No: 43/2024 Cert Date: 28/05/2024","-","Completed","NEC Decision No.61/2024","Supreme Industries Limited","K3,573,520.17","Contract executed "
"National Statistical Office (NSO)","NPC2024-18","01/05/2024","Veari Hitolo","Single Source Procurement of 2024 Census Printed Materials for 2024 National Population Census.","GoPNG","-","APC Value: K2,382,786.43 Cert No: 44/2024 Cert Date: 28/05/2024","-","Completed","NEC Decision No.61/2024","Designer Zucci Limited","K2,382,786.43","NEC Decision No.61/2024 Recommend Designer Zucci Limited to supply 2024 Census Printed Materials."
"Department of Transport (DoT)","NPC2024-19","02/05/2024","Veari Hitolo","Single Source Procurement for the North Bougainville District Vessel.","GoPNG","-","APC Value: K9,810,000 Cert No: 45/2024 Cert Date: 28/06/2024","-","Completed","-","JJ Ship Equip Agencies Limited","K9,810,000.00","Contract awarded"
"Cocoa Board of Papua New Guinea PACD Project Management Unit (PMU)","NPC2024-20","08/05/2024","Steven Peter","Rehabilitation of Vunapalading- Burit Feeder Road, CH.0.0-3.180km, inland Baining, Gazelle District, East New Britain Province.","World Bank","Tender Advertised on 24/05/2024 Closed on 26/06/2024","World Bank Letter of No Objection dated 06/05/24.","10/09/2024, , 6/09/2024, 29/08/2024, 29/08/2024","Completed","NPCB letter of approval dated 21/11/2024, M-No.10 of 2024 held on 30/10/2024. ","COVEC (PNG)Limited","K4,101,405.28","Contract signed on 20th February 2025. "
"Cocoa Board of Papua New Guinea PACD Project Management Unit (PMU)","NPC2024-21","08/05/2024","Steven Peter","Rehabilitation of Kulungure Feeder Road, CH.0.0-4.0km, Sinivit, Pomio District, East New Britain Province.","World Bank","Tender Advertised on 24/05/2024. Tender Closed on 26/06/2024","World Bank Letter of No Objection dated 02/10/2024.","10/09/2024, 6/09/2024, 29/08/2024, 29/08/2024","Completed","NPCB M-No.12 of 2024 held on 13/12/2024. ","Kokopo Plant Hire Limited.","K4,964,336.34","Contract signed on 20th February 2025. "
"National Information & Communications Technology Authority (NICTA)","NPC2024-22","10/05/2024","Agaru Agarobe","4G Mobile Broadband Services - Greenfield.","GoPNG","Tender Number issued on 10/05/2024. Tender closed on 09/07/2024","APC Value: K8,000,000 Cert No:2421204203 Cert Date:09/04/24","16-18/10/24","Completed","-","Digicel","K3,933,340.00","Pending Legal Clearance. Draft Contract agreement prepared. TFEC Report to be finalized for Board deliberation."
"National Information & Communications Technology Authority (NICTA)","NPC2024-23","10/05/2024","Agaru Agarobe","Radio Broadcasting Services.","GoPNG","Tender number issued 10/05/2024 Tender closed on 09/07/2024","APC Value: K2,600,000 Cert No:2421204206 Cert Date:09/04/24","16-18/10/24","Completed","-","-","-","TFEC Report finalized for deliberation. "
"Department of Health (DoH)","NPC2024-30","03/09/2024","Josephine Makiba","Provision of Routine Medical Supplies Distribution Services for Eastern Highlands and Morobe Province to the National Department of Health","GoPNG","Tender advertised on 10/09/2024 tender closed on 14/11/2024","APC Value: K7,461,269.90 Cert. Date: 30/102024 Cert. No: 242400217A","-","Completed","Meeting No.09 held on the 14th of October 2025","Tagali Contractors Limited","K7,574,339.00","Contract Signed on 29th January 2026. "
"Department of Health (DoH)","NPC2024-31","03/09/2024","Josephine Makiba","Provision of Routine Medical Supplies Distribution Services for Western Highlands, Jiwaka and Simbu Province to the National Department of Health","GoPNG","Tender advertised 10/09/24. Tender closed on 31/01/2025","APC Value: K7,686,324.20 Cert. Date: 30/10/2024 Cert. No: 242400216A","-","Completed","Meeting No.09. 14th October,2025","Protocol Investment Limited","K7,681,480.00","Contract signed on 29th January 2026. "
"Department of Works & Highways (DoWH)","NPC2024-32","05/09/2024","Guria Verave","Design and Construction of Sepik Highway from Maprik Town (CH92+56KM) To Warasikau Bridge (CH166+610KM) -74.05km Road under Connect PNG in East Sepik Province.","GoPNG-Program Connect PNG","Tender advertised 07/10/24 Tender closed 31/01/25","Connect PNG Program, budget plan","-","Completed","-","-","-","TFEC Report finalized to send to Board for deliberation. Tender closed 31/01/25. TFEC nominees submit to Board. Awaiting Certificate to Commence Procurement."
"Bomana Correctional Services Institution","NPC2024-33","12/09/2024","Veari Hitolo","Single Source Procurement for Bomana Correctional Institution Sewerage System Upgrade Work.","GoPNG","-","-","-","-","NPC Board in its Meeting No.08 of 2024","Lome Paina Construction Limited","K7,920,000.00","Contract awarded"
"Internal Revenue Commission (IRC)","NPC2024-34","12/09/2024","Josephine Makiba","Single Source Procurement for Land Acquisition of Portion 2370 C, Volume 33,Folio 43, Milinch of Granville Fourmil of Port Moresby for Internal Revenue Commission (IRC) Staff Home Ownership Scheme.","GoPNG","-","-","-","-","NPC Board in its Meeting No.08 of 2024","-","K9,800,000.00","Contract Signed. "
"Autonomous Region of Bougainville (AROB)","NPC2024-35","23/09/2024","Veari Hitolo","Single Source Procurement for 43m Cargo Passenger Ferry for attols in the Autonomous Region of Bougainville.","GoPNG","-","-","-","-","-","Kemudi Santun SDN.BHD.","K10,889,250.15"," Contract signed and awarded to Kemudi Santun SDN.BHD on 07/03/25. "
"Department of Finance (DoF)","NPC2024-36","26/09/2024","Hane Hekwa","Single Source Procurement for Integrated Financial Management Information System (IFMS) For Department of Finance (DoF)","GoPNG","-","-","-","-","NPC Board in its Meeting No.09 of 2024","Technology One Limited","K4,000,000.00","Contract awarded"
"National Gaming Control Board (NGCB)","NPC2024-37","03/10/2024","Josephine Makiba","Single Source Procurement for the purchase of Twin Merlion Business Centre building at allotment 25, section 122 Hohola for the National Gaming Control Board (NGCB).","GoPNG","-","-","-","-","NPC Board in its Meeting No.09 of 2024 held on 20/09/24","Twin Merlion Building Business","K38,000,000.00","Awaiting Business Statutory paper to be signed by the minister responsible due to no Board chairman. NPC Board approved single source procurement and endorsed it to NEC."
"National Housing Corporation (NHC)","NPC2024-38","04/10/2024","Angeline Oki","Construction of Sewerage Reticulation Phase 1, for Durand Farm Housing Project, 8 mile, National Capital District.","GoPNG","Tender advertised on 10/10/24 tender closed on 31/10/2024","APC value: K6,485,356.42 Cert No: 2454109901 Cert date: 09/9/24","-","-","-","-","-","TFEC report Completed and yet to be submitted. "
"Department of Finance (DoF)","NPC2024-66","20/12/2024","MacNamana Hitolo","Single Source Procurement Method for the Procurement of ICT Hosting Services for the Department of Finance (DoF)","GoPNG","-","-","-","Completed","NPC Board in its Meeting No.012 of 2024 held on 06/12/24 ","-","K9,9000,000.00","Pending the draft Contract Agreement. Deliberated & approve single source procurement."
