"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bidding Closing Date Ti","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"Royal Papua New Guinea Constabulary (RPNGC)","NPC2023-33","08/09/2023","Veari Hitolo","Direct Procurement of Purchase 130 Police Vehicles Toyota Land-Cruiser from Ela Motors(Single Source Procurement)","Own funding Source","-","""K26,000,000 (Single Source Procurement)""","-","complete","""NEC Decision No:308/2023, Meeting No:12/2023, dated 01/11/23, Statutory Business Paper No.106/2023"""," Ela Motors ","K26,000,000","""Contract executed""."
"Menyamya District Development Authority (MDDA)","NPC2023-34","20/09/2023","Frank Hare","Menyamaya District Office Building project","MDDA ","-","-","-","Completed","-","Pioneer Construction & Engineering Limited","K14,723,622.49"," Approved & awarded."
"Department of Works & Highways (DoWH)","NPC2023-35","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Nadzab Airport Turnoff to Leron Bridge (56.5KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","TFEC completed 20/05/2024","-","-","-","Tender cancelled.Board withdrawn as per DOWH request. Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2."
"Department of Works & Highways (DoWH)","NPC2023-36","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Leron Bridge  to Yung Bridge  (53.8KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Tender Cancelled. Board withdrawn as per DOWH request. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2."
"Department of Works & Highways (DoWH)","NPC2023-37","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract fromYung Bridge  to Honerangka Bridge(46.3KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Tender Cancelled. Board withdrawn as per DOWH request. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2."
"Department of Works & Highways (DoWH)","NPC2023-38","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Umbaka Bridge to Taraboro Bridge  (50.1KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Tender Cancelled.Board withdrawn as per DOWH request. Board deliberation. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2."
"Department of Works & Highways (DoWH)","NPC2023-39","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Taraboro Bridge to Mangiro Bridge   (52.4KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Awaiting TFEC Appointment & Board Approval. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2. "
"Department of Works & Highways (DoWH)","NPC2023-40","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Mangiro Bridge to Miunde Bridge   (52.3KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Board withdrawn as per DOWH request. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2. "
"Department of Works & Highways (DoWH)","NPC2023-41","02/10/2023","Guria Verave","Performance Based Road Maintenance Contract from Miunde Bridge to Kagamuga Airport Turnoff   (49.5KM)","Asian Development Bank (ADB) Loan","28/11/2023","-","-","-","-","-","-","Board withdrawn as per DOWH request. Board deliberation. ADB Loan No.4049/4095- PNG & OPEC fund Loan No.14606 P-PNG: Sustainable Highlands Highway Investment Program Tranche 2."
"Department of Works & Highways (DoWH)","NPC2023-42","04/10/2023","Veari Hitolo","Bridge Design and Construction at Iomare creek (CH19+30KM) along Hiritano Highway in Central Province","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender. All Documentation are provided, except for Letter of No Objection, yet to be provided."
"Department of Works & Highways (DoWH)","NPC2023-43","04/10/2023","Veari Hitolo","Pavement Maintenance and Sealing of the Hiritano Highway from Laloki Bridge (CH000+000KM) to Brown River Bridge (CH022+100KM) in Central Province","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender. All Documentation are provided, except for Letter of No Objection, yet to be provided."
"Department of Works & Highways (DoWH)","NPC2023-44","04/10/2023","Veari Hitolo","Design and Construction of 31M Lubugoro East Bridge (CH17.2KM) along Hiritano Highway in Central Province","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender. All Documentation are provided, except for Letter of No Objection, yet to be provided."
"Department of Works & Highways (DoWH)","NPC2023-45","04/10/2023","Veari Hitolo","Design and Construction of 25.2M of a Creek Bridge (East -Bridge Design ) at Dasiama Market (CH 10.1Km) along Hiritano Highway in Central Province","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender. All Documentation are provided, except for Letter of No Objection, yet to be provided."
"Department of Works & Highways (DoWH)","NPC2023-46","04/10/2023","Veari Hitolo","Long Term Maintenance on the Hiritano Highway from Laloki Bridge (Ch.00+000KM) to Bereina Station Junction (CH.142+900Km)","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender. All Documentation are provided, except for Letter of No Objection, yet to be provided."
"Department of Works & Highways (DoWH)","NPC2023-47","04/10/2023","Pora Kewa","Long Term Maintenance Contract along Hiritano Highway from Malalaua Station (CH199+00Km) to Kerema Town (CH275+400Km)in Gulf Province","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","80/07/2025","Letter of No Objection, yet to be provided. ","-","waiting TFEC nominees from agencies","-","-","-","Awaiting TFEC Nominees
1. OSS: Rose Tovaira
2. DoWH- yet to appoint
3. DoF- yet to appoint. Tender advertised on 26/05/25 & 22/05/25. "
"Department of Works & Highways (DoWH)","NPC2023-48","04/10/2023","Pora Kewa","Major Road Maintenance, Upgrading & Sealing Works along Hiritano Highway from Malalaua Station (CH199+00Km) to Epo Junction (CH266+00Km) in Gulf Province.","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","30/06/2025","Letter of No Objection, yet to be provided.","-","waiting TFEC Nominees from agencies","-","-","-","Awaiting TFEC Nominees.
1. OSS-Rose Tovaira
2. DoWH-yet to appoint
3. DoF-yet to appoint.
Tender advertised on 26/05/25 & 22/05/25."
"Department of Works & Highways (DoWH)","NPC2023-49","04/10/2023","Veari Hitolo","Major Works on the Replacement of Uriri Bridge along Hiritano Highway at CH 105+300 from Apanaipi Bridge in Gulf Province.","Australian Aid (AusAID)-Transport Sector Support Program (TSSP)","-","-","-","-","-","-","-","DoWH has yet to confirm the publication of the tender."
"Department of Works & Highways (DoWH)","NPC2023-01","18/01/2023","Pora Kewa"," Design & Construction of Kindeng to Nunga (CH 0+00-16+900) of 16.9km Road under the connect PNG program in western Highlands Province.","GoPNG-Program Connect PNG","25/04/2023","Pending","08/05/2024 to 17/05/2024","Completed","23/12/2024","Wopa Construction (PNG) Limited","K72,994,738.50","Contract Executed by head of the State on 23rd December 2024."
"Ministry of Education - Office of National Library & Archives","NPC2023-02","15/02/2023","Angeline Oki","Construction of Kerema Public Library and Archives at Kerema, Gulf Province.","GoPNG","03/10/2023","Awaiting APCC to release Certificate to Commence Procurement.","Completed","-","-","-","-","To be Retender. "
"National Maritime Safety Authority (NMSA)","NPC2023-03","01/03/2023","Vincent Dangiaba","Supply of Oil Spill Response Equipment to National Maritime Safety Authority (NMSA).","Own funding Source","14/04/2023","K6,000,000 ,Cert No. 235260215 dated 15/02/23.","-","-","-","-","-","Pending Evaluation. Pending Board Approval on TFEC Composition.                                                                                                        23."
"National Maritime Safety Authority (NMSA)","NPC2023-04","01/03/2023","Vincent Dangiaba","Supply of Oil Spill Equipment to Rabaul and Alotau, for the National Maritime Safety Authority (NMSA).","Own funding Source","Re-tender dated 18/10/2024. Previous:14/04/2023","K6,000,000.00   Cert No.235260216","-","-","-","-","-","Pending Evaluation. Pending Board Approval on TFEC Composition.                                                                                                          "
"Department of Works & Highways (DoWH)","NPC2023-05","16/03/2023","Guria Verave","Upgrading and Sealing of Vanimo-Green Road from Imbio junction to Green River Station under Connect PNG in West Sepik Province.","GoPNG-Program Connect PNG","14/03/2024","Pending APC.                                               As Funding for this project will come from the NDB Budget 2023 & from the NEC approved 5.6% State commitment through annual Development Budget under Connect PNG Program. ","-","-","-","-","-","TFEC in progress 28/2/25."
"Department of Works & Highways (DoWH)","NPC2023-06","21/03/2023","Guria Verave","Re-construction of Sepik Coastal Highway (182km) from Aitape End of Seal to Vanimo DPI Junction under the Connect PNG in West Sepik Province.","GoPNG","12/10/2023","Pending APC. Funding for this project will come from the NDB Budget 2023 & from the NEC approved 5.6% State commitment through annual Development Budget under Connect PNG Program. ","-","-","-","-","-","Pending further clarification by DoWH. Tender closing date extended to 12/10/23."
"Department of Works & Highways (DoWH)","NPC2023-07","23/03/2023","Steven Peter","""Contract No.33-GPNG-SRC-BJAB-54/2022                                                Pavement Rehabilitation, Stabilization and Sealing of Beraina Junction (CH 0+00) to Apanaipe Bridge (CH 32+600) along Hiritano Highway in Central Province.""","GoPNG","08/06/2023","Pending APC","-","Completed","NEC Decision: 230/2023 Meeting No.18/2024 held 07/08/24 Statutory Business Paper No.112/2024","Dekenai Construction Limited","""K78,706,00.77 ""","""Approved & awarded to Dekenai Construction Limited with a contract value of K78,706,000.77 on 17/12/24. "
"Department of Works & Highways (DoWH)","NPC2023-08","23/03/2023","Steven Peter","""(Contract No.33-GPNG-SRC-ABM-55/22)                                                        Long-Term Performance-Based Upgrade, Restoration & Periodic Maintenance of Apanaipi to Malalau Road in (47.56km) along Hiritano Higway in Gulf Province""","GoPNG","08/06/2023","Pending APC","12th /09/2023","Completed","NEC Decision No.231/2024. Meeting No 18/2024","China Wu Yi Co.(PNG) Limited","""K112,309,994,29 ""","""Approved and awarded to China Wu Yi Co. (PNG) Limited, Contract value of K112,309,994,269."
"Department of Works & Highways (DoWH)","NPC2023-09","05/04/2023","Guria Verave","Contract No.42-LTMC-GOPNG-66/2023                                                     Long Term Road Maintenance & Restoration Works from Watarise Junction to Pumpoquato Bridge (32km) Section of Morobe along Ramu Highway in Morobe Province.","GoPNG","-","Pending APC.                                                 'The funding of this project will come from the National Development Budget 2023 PIP/Budget Reference No.05367-Watarise-Madang Highway & Connect PNG","-","-","-","-","-","TFEC in progress.Pending APC. Follow-up letter to DoWH for APC dated 18/05/2023. Pending APC.                                                                                    Tender Number issued 05/04/23."
"Department of Works & Highways (DoWH)","NPC2023-10","05/04/2023","Guria Verave","Contract No.42-LTMC-GOPNG-67/2023                                                 Long Term Road Maintenance & Restoration Works from  Lae Main Wharf (CH0.0km) to 14Mile End of Seal (CH19.5KM) Section of Morobe along the Highlands Highway in Morobe Province.","GoPNG","-","Pending APC.
'The funding of this project will come from the National Development Budget 2023 PIP/Budget Reference No.03968-Lae-Nanzab","-","-","-","-","-","Pending APC. Follow-up letter to DoWH for APC dated 18/05/2023. Pending APC.                                                    Tender Number issued 05/04/23."
"Department of Works & Highways (DoWH)","NPC2023-11","05/04/2023","Guria Verave","""Contract No.36-DC-CPNG-67/2023                                      Upgrade to Seal of Road Section from Waseta Bridge (CH0+000) to Fala Bridge (CH43+000) along Kokoda Highway, OroProvince.""","GoPNG","-","Pending APC.","-","-","-","-","-","Pending APC. Follow-up letter to DoWH for APC dated 18/05/2023. Pending APC.                                                   Tender Number issued 05/04/23.                                             No APC under Public-Private Partnership (PPP) arangment."
"Department of Works & Highways (DoWH)","NPC2023-12","05/04/2023","Guria Verave","(Contract No.33-DC-CPNG-68/2023)                          Design & Construction of 242.0km Section of Magi Highway from Moreguina Junction (CH0.00) in Central Province to Gadaisu (CH242.0) in Milne Bay Province Under Connect PNG Program.","GoPNG-Program Connect PNG","16/04/2023","Pending APC.","Completed","TFEC Completed on 28th August 2024.
","NPC Board Meeting No.10 of 2024, held on 30th October 2024.
NEC in its Meeting No.02/2025.","China Overseas Engineering Company (COVEC) PNG Ltd.","K1,586,626,997.86","Endorse to NEC for approval & awaiting contract signing. NEC in its Meeting No.02/2025, held on 12th February 2025, Its Decision No.11/2025, has approved and award the contract."
"Department of Prime Minister (PM) & National Executive Council (NEC)","NPC2023-13","19/04/2023","Steven Peter","""Installation of three (3x) New Lifts at Sir Manasupe Haus, Waigani, National Capital District.""","GoPNG","06/06/2023","""APC Value: K5,342,806.70              APC No: 31/2023                                  Cert Date: 01/12/2023 ""","Completed","TFEC Report dated 07/11/2023","NPC Board Meeting No.13/2023 held on 17/11/23","Orbitz Elevators Pty Limited","""K5,342,806.70""","""Contract awarded""                                                                                                                                               "
"Department of Works & Highways (DoWH)","NPC2023-14","19/04/2023","Agaru Agarobe","Investigation, Design and Construction of Liba Bridge along the Magi Highway in Abau District, Central Province.","GoPNG","-","Awaiting APC","-","-","-","-","-","Awaiting DoWH to provide APC, follow-up letter to be sent.                                                                                                Tender Number issued 19/04/2023, however APC yet to be submitted. "
"Department of Works & Highways (DoWH)","NPC2023-15","19/04/2023","Agaru Agarobe","Investigation, Design and Construction of Robinson Bridge along the Magi Highway in Abau District, Central Province.","GoPNG","-","Awaiting APC","-","-","-","-","-","Awaiting revised APC to commence procurement."
"PNG Department of Defense (PNGDF)","NPC2023-16","25/04/2023","Agaru Agarobe","PNGDF Catering and Hospitality Services Contract for Southern Region Units.","GoPNG               Recurrent","07/03/2024","APC Value: K98,988,000.00, Cert No: 232341023 Cert Date:23/10/23","-","-","-","-","-","NPC Board Approve and Endorse to NEC for Award the Contract."
"Department of Works & Highways (DoWH)","NPC2023-17","26/04/2023","Guria Verave","Contract No.37-CPNG-SRC-PM-72/23. Upgrading and sealing of 100.20km Kutubu Road from Highland Highway Junction at Parita (CH00.00) to Moro Gate Kamiri Bridge (CH100.200) in Southern Highlands Province.","GoPNG-Program Connect PNG","29/06/2023","Pending APC","TFEC concluded on 31/01/24","Completed","""Board endorsed to NEC meeting No.02/6/24, held on 26/04/24. ""","China Railway Engineering Construction Company Limited","""K371,000,000.00""","""Contract executed on 22nd October 2024."
"National Information & Communications Technology Authority (NICTA)","NPC2023-18","12/05/2023","Frank Hare","4G Mobile Broadband Services-Upgrade(2023-UAS-MBU1)","GoPNG","14/09/2023","-","-","CANCELLED / RETENDER","-","-","-","Tender closed & Nil bids received and retender. "
"Department of Education (DoE)","NPC2023-106","09/11/2023","Veari Hitolo","""Consolidation ,packing,labelling and Delivery of Teaching and Learning Materials under the Governmentn's Tuition Fee Subsidy (GFTS) policy to all Elementary,Primary and Secondary schools in West Sepik Province""","GoPNG","08/12/2023 @10am","""APC: K1,120,000   APC#: 40/2024    Date: 28/05/24                             APC Value: K1,095,338.00 Cert No: 232350930                                Cert Date: 22/09/23""","Completed","-","-","Wantok Distributors Limited","""K1,120,000.00""","""Contract executed on 2nd July 2024."
"PNG Department of Defense (PNGDF)","NPC2023-107","23/11/2023","Agaru Agarobe","PNGDF Catering and Hospitality Services Contract for Igam Barracks, Lae, Morobe Province and HMPNGS Tarangau, Lombrum, Manus Province.","GoPNG               Recurrent","07/03/2024","APC Value: K42,894,800.00, Cert No: 232341024 Cert Date:23/10/23","-","-","-","-","-","NPC Board Approved and endorsed to NEC for Award Contract."
"PNG Department of Defense (PNGDF)","NPC2023-108","23/11/2023","Agaru Agarobe","PNGDF Catering and Hospitality Service Contract for Southern Region Units.","GoPNG               Recurrent","07/03/2024","APC Value: K37,120,500.00, Cert No: 232341025 Cert Date:23/10/23","-","-","-","-","-","NPC Board Approved and endorsed to NEC for Award Contract. This tender has undergo a revision as per PNGDF letter dated 06/11/23 to divide into 3 locations, thus 3 tenders & APCC approved 3 APC for NPC2023-106, NPC2023-107 & NPC2023-108.                                                                                                                    "
