"Agency","Tender No","Action Officer","Project Description","Funding","Closing Date Time","APC Value Budget Estimate","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"Department of Education (DoE)","NPC2019-54","Geoffrey Kinibo","Printing and Supply of Grades 4 to 6 Citizenship and Christian Values Education syllabuses and Teachers Guides to Department of Education, curriculum Developmen Division, Waigani","GoPNG","14th November 2019 @10:00am","3,346,240.00","TFEC Concluded 20.11.19","12th Dec/2019 @ BM No:15/2019","Maho Media Limited","K3,346,240.00","Contract executed on 5th Feb 2020."
"Department of Treasury (DoT)","NPC2019-55","Babaga Naime","Engagement of Overseas Technical Experts for Commission of Inquiry Duties in PNG","GoPNG","01st Nov/2019 @10:30am","K18 Million","TFEC not required.","12th Dec/2019;BM No: 15/2019","Mita Ellison (Consultant)","K18,000,000.00","Contract executed on 02nd June 2020."
"Department of Commerce & Industry","NPC2019-56","Frank Hare","PMIZ Business Case Analysis","GoPNG","21st Feb/2020 @10:00am","-","-","-","-","-","Tender Cancelled."
"Government Printing Office (GPO)","NPC2019-57","Frank Hare","Civil Works for Government Printing Office Staff Home Ownership Project","GoPNG","21st Jan/2020@10:00 am; Budget Est: K2.7 million","K2.7MIllion","TFEC Concluded 27/05/20","M-10/20 dated 10/09/20","Mobile Works Limited","K2,440,000.00","Contract executed by Head of State on 15th June 2021."
"Hela Provincial Administration (HPA)","NPC2019-58","Guria Verave","Construction of the proposed Koroba Mobile Squad Police Barracks Development at Koroba Station in Hela Province.","GoPNG","19th Dec/2019 @10:00am, Budg Est: K10,000,000.00","-","TFEC Concluded 11/03/20","09th April 2020 @ BM NO: 03/2020","Tari Pori Development Corporation","K9,957,584.77","Contract executed on 22nd July 2020."
"Hela Provincial Administration (HPA)","NPC2019-59","Guria Verave","Construction of the Proposed Hela Provincial Police Head Quarters at Tari, Hela Province","GoPNG","Closed 19th Dec/2019. Retender Closed 10th June 2020 @10:00am","-","Pending","-","-","-","Pending confirmation for re-tender, awaiting HPA to clarify."
"Department of Finance (DoF)","NPC2019-60","Hane Hekwa","Vulupindi Haus Cleaning Services","GoPNG","10th March, 2020 @ 10:00am","K1, 639, 063.00","Completed","25/08/21 at M-08/20","St. Maintenance & Cleaning Contractors Limited","K674,800.00","Contract executed on 03rd March 2022."
"Hela Provincial Administration (HPA)","NPC2019-61","Guria Verave","Design and Construction of Sir Yuwi Memorial Secondary School in Tari, Hela Province","GoPNG","19th Dec/2019 @10:00am, Budg Est: K9,800,000.00","K9,981,187.76","TFEC Concluded","09th April 2020 @ BM NO: 03/2020","Pacific Building Industries Ltd","K9,981,87.76","Contract executed on 22nd July 2020."
"PNG Electoral Commission","NPC2019-62","Frank Hare","Procurement of Biometric Voter Registration System","-","-","-","-","-","-","-","Tender Cancelled (Due to technical issues raised by bidders)"
"Department of Works and Highways (DoWH)","NPC2019-63","Guria Verave","Consultancy for Preparation of Detailed Project Report for Construction of Roads in PNG from Kimbe to Hoskins, WNBP and Baiyer to Madang WHP to Madang Province","-","-","-","-","-","-","-","Refer to NPC 2020-01."
"Department of Works and Highways (DoWH)","NPC2019-71","Guria Verave","Engineering Procurement & Construction and Financing of Kiburu Junction (Mendi) to Nipa Secondary in the SHP.","GoPNG-Program Connect PNG","24th /04/2020 ; Extended to 15th May /2020","Engineering, Procurement & Construction (EPC)","23rd June, 2020","NEC M-02/21 dated 03/02/21","Construct Oceanic Limited","K221,851,364.25","Contract executed by Head of State on 15th June 2021."
"Department of Commerce & Industry","NPC2019-72","Veari Hitolo","Second baseline survey on the PNG SME access to Finance Project IDA","World Bank","05th March 2020 @10:00am","Donor Funded","19/08/2020","-","Board Decision subject to TFEC report","Board Decision subject to TFEC report","Awaiting Department of Trade Commerce and Industry concurrence on status."
"Southern Highlands Provincial Administration","NPC2019-73","Guria Verave","3x Storey Seat of Good Governance Building in Mendi SHP.","GoPNG","07th May 2020@10:00am; Budget Est: K40M","K40 Million","23/10/2020","Meeting No. 13-2020 dated 02/12/2020","NBC Limited","K40,001,500.00","Pending NEC final approval & execution."
"Department of Commerce & Industry","NPC2019-01","Guria Verave","Re-gravellimg and re-sealing works from Yekimbole - Aripmo CH.00 - CH.01 - East Sepik Province","GoPNG","21st Feb 2019 @10:00am; Budget Est: PGK 10million","K9,176,924.90","25th February 2019","17th May 2019; BM No: 03/2019","China Shenyang International Economic & Technical Corporation Ltd","K9,176,924.90","Contract executed on 18th July 2019."
"Department of Commerce & Industry","NPC2019-02","Guria Verave","Design and Construction of a New 4 Storey Building and associated works in Jiwaka Province","GoPNG","Revised Bid Closed on 16th June 2020@10:00am","K294.24 Million","28/08/2020","03/2020 on 17/08/20","Essar Projects","K219,394,722.00","Contract executed on 17th December 2020 by the Head of State."
"National Maritime Safety Authority (NMSA)","NPC2019-03","Geoffrey Kinibo","ADB Loan 2978(SF) Maritime Waterways Safety Project - Navaids Replacement and Installation Work Package 4 (New Britain Province) Contract.","Asian Development Bank (ADB) Loan","-","-","-","-","-","-","NMSA letter dated 19/05/21 conffirming project has been withdrawn."
"National Maritime Safety Authority (NMSA)","NPC2019-04","Geoffrey Kinibo","ADB Loan 2978(SF) Maritime Waterways Safety Project - Navaids Replacement and Installation Work Package 4 (New Britain Province) Contract.","Asian Development Bank (ADB) Loan","-","-","-","-","-","-","NMSA letter dated 19/05/21 conffirming project has been withdrawn."
"Department of Transport (DoT)","NPC2019-05","Geoffrey Kinibo","Shipping Franchise Contracts-Northwest Coast, Manus Province.","GoPNG","29th/Oct/2019 @10:00am","K2.25M","19/03/2020","-","-","-","Follow up email to DoT dated 04/10/21 regarding revalidating bid."
"Department of Transport (DoT)","NPC2019-06","Geoffrey Kinibo","Shipping Franchise Contracts - Mainland Coastline at Manus Province.","GoPNG","29th/Oct/2019 @10:00am","K2.25M","19/03/2020","-","-","-","NPC Follow up email to DoT dated 04/10/21 regarding revalidating bid."
"Department of Works and Highways (DoWH)","NPC2019-07","Guria Verave","Long Term Performance Based Road Maintenance Services & Restoration Works from Togoba Junction to Wapenamanda Council Chamber (56.35 km) Section of Enga Highway between Western Highlands and Enga Province.","GoPNG","Friday 14th June 2019, at 10:00am, Budget Est:K9,995,629.35","-","-","-","-","-","DoWH advised NPC to put on hold tender process recent Pending APC."
"Department of Works and Highways (DoWH)","NPC2019-08","Guria Verave","Long Term Performance Based Road Maintenance and Restoration Works along the Highlands Highway between Togoba Junction to Kagul Bridge (29.0 km) in the Western Highlands Province.","GoPNG","Friday 14th June 2019, at 10:00am, Budget Est:K7,593,573.00","-","-","-","-","-","NO APC, Same status as Tender number NPC2019-7"
"Department of Works and Highways (DoWH)","NPC2019-09","Guria Verave","Restoration, Resealing and Routine Maintenance Works from Mai Junction to Hoskins Airport (20.29km) along the Hoskins Road in West New Britain Province.","GoPNG","Friday 14th June 2019, at 10:00am, Budget Est:K8,265,623.85","-","-","-","-","-","NO APC, Same status as Tender number NPC2019-07"
"Department of Works and Highways (DoWH)","NPC2019-10","Guria Verave","Restoration, Resealing and Routine Maintenance Works from Kinakon (before PAU Turnoff) to Sogeri End of Seal (22.29 km) along Sogeri Road in Central Province.","GoPNG","Friday 14th June 2019, at 10:00am, Budget Est:K9,265,422.00","-","-","-","-","-","NO APC, Same status as Tender number NPC2019-07"
"Department of Works and Highways (DoWH)","NPC2019-11","Guria Verave","Long Term Road Maintenance Services and Restoration Works from Bereina to Apanaipi Bridge (30km) along the Hiritano Highway in the Central Province.","GoPNG","Friday 14th June 2019, at 10:00am, Budget Est:K9,964,922.79","-","-","-","-","-","NO APC, Same status as Tender number NPC2019-07"
"Department of Works and Highways (DoWH)","NPC2019-12","Guria Verave","Upgrade to seal from Bogia to Awar on Coastal Highway in Madang Province, PNG","World Bank","30th July 2019@10:00am","World Bank","TFEC Completed 05/May 2020","M-04/21 on 15/04/21","Dekenai Construction Limited","K42,057,264.69","Contract executed on 2nd June 2021."
"Department of Works and Highways (DoWH)","NPC2019-13","Guria Verave","Upgrade to Seal from EPO to Kerema on Hiritano Highway in Gulf Province, PNG.","World Bank","30th July 2019@10:00am","World Bank","TFEC Completed 05/May 2020","M-04/21 on 15/04/21","Dekenai Construction Limited","K46,629,271.54","Contract executed on 2nd June 2021."
"National Maritime Safety Authority (NMSA)","NPC2019-14","Geoffrey Kinibo","MWSP/EA-01 Environmental Audit of the Installation of Navigation Aids (New Guinea Provinces).","Asian Development Bank (ADB) Loan","-","-","-","-","-","-","NMSA letter dated 19/05/21 confirming pending awaiting award of Contract."
"National Maritime Safety Authority (NMSA)","NPC2019-15","Guria Verave","MWSP/TG-02 Tide Gauges Replacement","Asian Development Bank (ADB) Loan","10th Oct/2019 @10:00am","-","TFEC schedule for 25th June 2020","M-12/20 dated 22/10/20","AD Engineering Limited","K477,069.16","NMSA response letter dated 19th May 2021 confirming that this project has been withdrawn."
"Department of Works and Highways (DoWH)","NPC2019-16","Guria Verave","Provision of Project Management and Supervision Consultancy Services for Road and Bridge Maintenance and Construction Works. (Contract No: 55-AT-24CT)","Australian Aid (AusAID)","26th September 2019 @10:00am","Letter of No Objection","Completed","B-MN 06 of 2022 held at May 4th 2022","JBS Consulting Engineers","K61,275,257.99","Contract executed on 4th August 2022."
"Department of Works and Highways (DoWH)","NPC2019-17","Guria Verave","Resealing of the Coastal Highway from Sawmill Junction 9CH 237+00) to Borders Post end of seal (CH 284+00) in Sandaun Province","Australian Aid (AusAID)","21st Nov,2019 @10:00am","-","09/11/2020","M-01/20 dated 11/02/20","Global Construction Limited","K9,984,700.00","Contract executed on 16th July 2021."
"Department of Works and Highways (DoWH)","NPC2019-18","Guria Verave","Preparation of the Resilient Transport Project - Tendering Output and Performance a Based Contract Specialist.","World Bank","20/08/21 @10:00am","-","Completed","M-13/22 dated 28/09/22","Torben Mikkelsen","USD 451,765.00","Contract executed in 2022."
"Department of Works and Highways (DoWH)","NPC2019-19","Guria Verave","Preparation of the Resilient Transport Project - Tendering of Program Implementation Support Advisor.","World Bank","20/08/19 @10:00am","-","Completed","M-13/22 dated 28/09/22","Sundar Suntharesan","USD 487,338.40","Contract executed in 2022."
"Department of Works and Highways (DoWH)","NPC2019-20","Guria Verave","Preparation of the Resilient Transport Project - Tendering Survey and Mobile Mapping Services.","World Bank","20th Dec/2019 @10:00am","-","TFEC Pending","TFEC Pending","Subject to Board Decision","Subject to Board Decision","Project expired, they needed to renew their program and advice."
"Department of Works and Highways (DoWH)","NPC2019-21","Guria Verave","Preparation of the Resilient Transport Project - Tendering Undertaking Field Investigations, Surveys and Design of Ramu Highway Improvements.","World Bank","06th Dec/2019 @10:00am","-","TFEC Pending","TFEC Pending","Subject to Board Decision","Subject to Board Decision","Project expired, they needed to renew their program and advice."
"Department of Education (DoE)","NPC2019-22","Geoffrey Kinibo","Designing and Construction of Infrastructure at Simbu National Polytechnic Institute.","GoPNG","14th Dec/2018 @10:00am","K40,000,000.00","Completed","22nd Oct 2019 ; M No:13/19","NBC Ltd (JV) TP Solution Limited","K37,529,800.00","Contract executed on 23rd December 2020 by Head of State."
"Department of Works and Highways (DoWH)","NPC2019-23","Guria Verave","Pavement Construction Stabilization and Bituminous Sealing or Hiri Lai Road 26.4km in Southern Highlands Province.","GoPNG","01st August/2019 @10:00am; Budget Est: K65.84M","K65,840,000.00","TFEC Completed 05th /May 2020","09th April 2020; B/M No: 03/2020","Ipwenz Construction Limited","K66,639,259.28","Contract executed in 2022."
"Department of Works and Highways (DoWH)","NPC2019-24","Guria Verave","Proposal for the Detailed Designed and Construction of Finschaffen Highway form Bukawa Village to Pindi Station (K100KM) in Finschaffen District of Morobe Province.","GoPNG","30th August 2019 @10:00am; Budget Est: K300,000,000.00","289,994,637.32","TFEC Completed 05th /May 2020","12th Dec/2019 @ BM NO: 15/2019","China Railway International Group Co.Limited","K289,994,637.32","Contract executed by Head of State on 13th March 2020."
"Department of Works and Highways (DoWH)","NPC2019-25","Guria Verave","Design and Construction of Hawain Bride on the Coastal Highway in the East Sepik, Contract No. SC 33-NH-19AB - Request for NPC Number.","GoPNG","30th September 2019 @10:00am; Budget Est: K20,000,000.00","PGK20 million","TFEC Completed 02/12/19","13th March 2020 @ BM NO:02/2020","Covec (PNG) Limited","K20,000,000.00","NEC Approved and Awarded to Covec (PNG) for a contract value of K20,000,000.00 and executed on 18/06/20"
"Eastern Highlands Provincial Health Authority (EHPHA)","NPC2019-26","Frank Hare","Construction of 2 new ablution Block; 2 Levels Ablution Block at Ward 2 and 3 and 3 Levels Ablution Block at ward 1 and 4","GoPNG","21/09/21 @10:00am","PGK 1,300,000.00","-","-","-","-","Board referred the TFEC report to EHPHA to approve within their Threshold Limit."
"Department of Education (DoE)","NPC2019-27","Geoffrey Kinibo","Construction of New 88-Man Dormitory for Port Moresby Technical College","GoPNG","12th August 2019 @10:00am","K2,000,000.00","-","-","-","-","Tender Withdrawn."
"Department of Works and Highways (DoWH)","NPC2019-28","Agaru Agarobe","Long Term Maintenance on the Sepik Highway from Passam Junction (Ch00+00) to (Lumi) Karitami (Ch258+00), East & West Sepik Provinces","Australian Aid (AusAID)","-","Letter of No Objection","Completed","B-MN 04 of 2024 held on 23 June 2024","China Shenyang International Corporation (PNG) Limited","K83,491,883.34","Contract executed on 23rd December 2024."
"Department of Works and Highways (DoWH)","NPC2019-29","Agaru Agarobe","Long Term Maintenance on the Magi Highway from Bautama Border (Ch00+00) to Gonai (Ch277+00).","Australian Aid (AusAID)","-","-","-","-","-","-","Advertised on 25/10/22. Documentation not provided by AusAid therefore the procurement process did not eventuate."
"Department of Works and Highways (DoWH)","NPC2019-30","Guria Verave","Long Term Maintenance on the Northern & Kokoda Roads from Babaru to Airport Junction to Kokoda in total 163km, in Oro Province","Australian Aid (AusAID)","04th March 2020@10:00am; Budget Est: K48,899,329.38","-","(29th June 2020) Completed","M-13/2020 on 02/12/20","EJ Sisters Limited","K51,312,887.01","Contract executed on 9th December 2021."
